collage_id;brandName;brandId;description;charming_no;cheerful_no;confident_no;contemporary_no;cool_no;corporate_no;daring_no;different_no;distinctive_no;downToEarth_no;dynamic_no;exciting_no;familyOriented_no;feminine_no;friendly_no;glamorous_no;goodLooking_no;hardWorking_no;highQuality_no;honest_no;imaginative_no;independent_no;innovative_no;intelligent_no;leader_no;masculine_no;original_no;outdoorsy_no;real_no;reliable_no;rugged_no;secure_no;sentimental_no;sincere_no;smallTown_no;smooth_no;spirited_no;successful_no;technical_no;tough_no;trendy_no;unique_no;upToDate_no;upperClass_no;western_no;wholesome_no;young_no
1070;Dr Pepper Diet;210;these pictures are fresh and energy like Dr Pepper Diet;3;2;4;4;4;3;3;3;3;3;4;4;1;4;3;2;2;3;1;3;3;2;1;3;4;4;4;4;4;4;3;3;3;4;1;3;4;1;4;1;3;2;2;1;3;2;2
1130;Dr Pepper Diet;210;its healthy trendy and easy carrying;5;3;3;4;4;4;4;5;4;3;5;5;4;3;3;5;4;4;3;4;4;4;4;5;3;3;3;5;3;3;5;3;4;5;2;2;5;4;3;4;3;3;4;4;4;4;4
1220;Dr Pepper Diet;210;Dr.Pepper tastes fresh and clean. Dr.Pepper is also involved with sports. So a sporty and outdoorsy collage is very appropriate to the brand Dr.Pepper. ;4;4;4;4;4;3;3;3;4;4;4;4;3;1;4;3;4;4;4;4;3;3;3;3;4;2;3;4;4;4;3;4;4;4;2;5;4;5;2;3;3;3;3;3;2;3;3
1285;Dr Pepper Diet;210;healthy;3;5;4;5;5;2;2;4;4;5;5;4;4;2;4;2;4;4;5;4;4;5;5;4;4;2;4;1;4;4;2;5;4;4;2;5;4;5;2;2;4;4;5;2;2;5;2
1291;Dr Pepper Diet;210;WHen I think of Dr. Pepper I think of family and laughter and fun. I also think of drinking a cool, frothy drink while relaxing. I think of it as hard-working and outdoorsy and also as old-fashioned. The color red and brown make me think of the drink.;1;5;5;3;1;1;1;2;3;5;4;2;5;1;5;1;2;5;3;5;2;3;2;3;4;3;5;5;4;5;5;4;4;4;5;4;4;5;1;5;1;2;2;1;3;5;2
1359;Dr Pepper Diet;210;dr means doctor, pepper means spice and diet means fit people;3;4;4;3;4;3;3;3;3;3;4;3;4;2;4;3;4;3;5;4;4;3;3;3;4;2;3;3;4;4;2;4;2;4;2;3;2;4;3;3;4;3;3;3;3;3;4
1412;Dr Pepper Diet;210;When I was in college I drank Diet Dr. Pepper a lot as I either went out or played video games so I tend to associate the brand with nerdiness, college parties and fun.;1;1;4;3;2;2;4;3;3;4;4;3;2;1;3;1;1;4;3;3;2;5;4;2;3;4;3;2;4;3;3;2;1;2;3;1;3;3;4;3;1;3;3;1;4;2;4
1468;Dr Pepper Diet;210;ITS A YOUNG AND ADVENTUROUS SODA COMPANY THAT IS BEST SERVED COLD. ITS HEALTHIER VERSION AND KEEPS YOU FLYING ONCE YOU'VE DRANK IT. ;5;3;3;5;5;5;5;5;5;5;1;5;5;3;5;5;1;5;3;5;5;5;3;3;1;3;5;5;5;5;5;5;5;5;1;5;1;5;5;5;3;3;5;5;5;5;5
1535;Dr Pepper Diet;210;Diet Dr Pepper is a nice budget friendly brand that is known world wide.  IT is  so good, that it does not sacrifice taste for it being diet, you can still keep your shape.;2;5;4;3;4;3;2;3;4;5;2;5;4;2;4;2;5;4;3;4;4;4;4;5;3;3;3;2;3;5;1;3;5;4;5;3;2;3;4;4;5;5;4;4;3;4;5
2321;Dr Pepper Diet;210;I picked things that were red. Cherries because it has a cherry taste. Summer and sparkling based items because of the sparkle of the fizz. Feminine items as I think its popular with women and ice because you have to drink it with ice.;1;2;1;1;2;5;3;3;1;2;1;1;3;5;1;1;1;1;2;1;1;1;1;1;2;1;3;1;1;2;1;1;1;1;1;3;1;3;1;1;1;3;2;1;1;1;1
1579;Dunkin Donuts;211;junk food, kids favourite, highway food, party, outing, nutrition;4;4;4;3;5;5;5;4;5;2;4;4;5;4;4;4;4;5;3;2;5;5;5;4;3;4;4;4;4;3;4;2;4;3;4;5;4;5;4;4;5;5;4;5;4;4;5
1752;Dunkin Donuts;211;I wanted to pick images that evoked fun and adventure.  Dunkin Donuts represents a certain carefreeness to me.  ;3;4;4;3;4;2;3;3;3;4;3;2;4;2;5;2;3;3;3;3;3;4;3;2;3;2;3;4;4;4;4;3;3;3;2;3;5;4;2;3;3;2;3;1;3;4;3
1838;Dunkin Donuts;211;Dunkin Donuts makes me think of blue collar workers and the city of Boston (which is where the brand is from, and where I lived when I drank it the most). The brand has an urban, gritty yet family-oriented feel to it so I tried to include various examples of blue collar workers and cityscapes.;2;4;4;3;2;3;2;2;3;5;3;2;4;1;4;1;2;5;4;5;2;3;2;2;4;5;3;1;5;5;5;3;1;4;4;2;4;3;3;4;2;3;3;1;4;4;3
1964;Dunkin Donuts;211;"Happiness
Good Times
Celebrations
Meetings
Colors
Youth
Togetherness";2;4;4;3;3;5;3;3;3;4;4;4;5;3;5;2;4;4;4;5;4;3;3;5;4;3;4;3;5;5;3;4;4;4;4;4;3;5;2;3;3;3;3;3;2;4;3
2069;Dunkin Donuts;211;People enjoying what there doing like eating Dunkin Donuts;3;4;5;4;4;4;4;3;4;5;4;4;5;3;5;2;4;4;3;4;3;5;4;4;4;3;5;4;5;5;3;4;3;5;4;4;4;5;3;4;4;5;5;4;3;4;3
2074;Dunkin Donuts;211;Dunkin Donuts makes me think of travelling with friends and family and spending time outdoors.;5;4;4;3;4;4;3;3;3;4;4;5;5;3;5;2;3;4;5;4;4;4;3;4;5;4;3;5;5;4;3;3;4;4;4;5;4;3;2;4;3;5;4;2;2;5;3
2108;Dunkin Donuts;211;well good in make collage in dunkin donuts in all callasan in ve good work in all pi;4;4;2;4;5;2;2;2;3;3;2;3;3;4;5;2;3;3;4;2;2;3;3;4;3;2;4;3;3;1;3;1;2;4;4;3;2;2;4;3;3;4;2;3;3;3;4
2184;Dunkin Donuts;211;the donut is symbolized by the round sun which wakes people up where the baker bakes donuts for children and workers in the subway. The DD brand starts people out in the morning and ties people together from the farm to the subway through fresh ingredients that are produced for business minded people and children. ;2;4;3;4;3;4;4;2;3;2;4;5;4;3;3;2;3;4;3;4;2;4;3;2;3;3;2;2;2;4;2;2;4;4;5;4;2;4;2;2;4;2;3;1;4;5;4
2228;Dunkin Donuts;211;Dunkin pronounce like donkey and donut shape is like care tire;3;4;3;3;4;3;4;3;2;3;3;4;3;2;3;4;4;3;4;3;3;4;4;4;4;3;3;3;4;3;3;3;2;4;2;4;3;4;3;4;4;3;4;4;3;3;3
2316;Dunkin Donuts;211;bold, young, happy, fresh, starts your morning;5;5;4;5;5;4;4;4;4;5;5;5;5;3;5;3;5;4;4;5;4;5;5;4;4;3;3;4;5;5;1;5;4;5;3;5;5;5;2;1;5;5;5;3;1;5;5
2408;Ebay;213;money;3;3;2;3;3;2;3;2;2;2;2;3;3;3;3;3;3;3;2;2;2;2;2;3;2;2;2;3;3;3;3;3;2;2;2;3;3;2;2;3;3;2;2;2;2;2;2
2434;Ebay;213;this collage represent the spark in your life, Ebay product do the same thing ;3;5;3;4;5;5;3;5;5;4;4;5;5;5;5;5;5;4;4;5;3;5;3;3;3;3;5;4;3;5;2;5;5;5;2;3;5;5;5;2;5;4;5;3;5;5;5
2490;Ebay;213;I think of sales and getting a good deal. i think of finding hidden treasures. I think of getting the package and it being like christmas.;4;4;3;4;4;3;4;5;5;3;4;4;3;3;4;3;3;4;3;4;5;4;4;4;4;3;5;3;4;3;3;3;3;4;3;3;5;4;3;4;4;4;4;3;3;3;4
2564;Ebay;213;Ebay is a source of the vintage, eclectic and every day.;1;3;2;3;2;1;1;3;3;3;3;2;2;1;3;1;2;2;3;3;2;2;3;3;3;1;3;1;4;3;1;2;3;2;1;1;1;4;2;1;2;4;2;1;1;2;1
2640;Ebay;213;I think it represents vastness.  Ebay is y our go to place for all kinds of things from normal to bizarre.  I think it showcases the many different types of things that can be found and purchased from all over the world.;3;3;3;5;5;2;3;3;5;3;3;4;4;1;4;1;3;4;4;3;5;5;5;3;4;1;5;3;4;3;4;5;4;3;1;3;5;5;3;5;5;5;5;1;1;2;3
2648;Ebay;213;Bright, vibrant colors reminds me of Ebay. Also, it gives people the freedom to earn money for themselves, and for many this means freedom.;4;4;5;3;4;4;4;4;4;4;5;4;3;3;4;3;4;4;4;4;5;5;4;5;5;3;5;4;5;4;4;4;2;4;2;4;5;5;5;4;5;4;5;4;2;3;4
2798;Ebay;213;"Everything including the kitchen sink
unusual items
all kinds of items
";3;4;5;4;5;3;3;4;4;3;4;4;4;3;4;3;3;4;3;5;5;4;4;4;5;3;5;3;5;5;3;5;3;4;3;3;4;5;3;3;4;4;4;3;3;4;3
2816;Ebay;213;selling, technology, business, clothes, antiques;4;3;3;3;4;2;3;5;5;3;3;3;3;1;3;3;3;3;3;5;3;3;5;3;5;1;5;3;5;3;1;5;3;3;1;3;3;5;5;1;3;5;3;1;5;3;3
2822;Ebay;213;The cobwebs refer to accessing it on the web. The items from a thrift department shows frugal people will use it. The clocks are to represent countdown timers on auctions. And the glasses are to represent the search ;2;3;5;4;5;1;5;4;5;5;5;4;5;3;5;2;5;4;5;3;5;5;5;5;4;3;5;2;5;4;5;5;5;5;1;1;5;5;5;3;4;5;4;3;2;2;1
2839;Ebay;213;wallet, transaction, global, trendy, colorful;5;5;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;2;5;5;5;5;5;4;5
2989;Ebay;213;It shows cool things that can be gotten on ebay, and neat things for collectors;3;4;4;4;4;3;3;4;5;3;4;4;4;2;3;2;4;4;3;4;5;3;4;4;5;3;5;2;4;4;2;3;4;4;2;3;3;4;2;2;3;4;4;3;2;4;3
3041;Ebay;213;EBay is exotic and worldly and exciting. It is adventurous. It helps us to find rare and interesting treasures from all parts of the globe without ever leaving home. It is comforting and vintage and lovely.;5;4;4;5;5;1;5;5;5;5;5;5;3;3;4;5;4;5;5;4;5;5;5;5;5;4;5;3;5;5;5;5;5;4;1;4;5;5;5;5;4;5;5;3;2;5;3
3122;Fanta;230;When I think of Fanta, I think of coolness, brightness, bubbly, spirited, playful and youthful.;5;5;5;3;5;1;4;4;3;2;5;5;4;1;5;1;4;2;1;2;5;2;3;3;1;1;1;1;4;2;1;2;3;1;1;1;5;3;1;1;3;4;3;2;1;2;5
3164;Fanta;230;very colorful, many different flavors, commercials designed to grab attention;1;2;1;3;2;5;2;2;2;1;3;3;2;4;2;1;1;1;1;1;3;1;2;1;2;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;2;2;3;1;1;1;3
3297;Fanta;230;it reminds me of those days out in the sun having fun with my friends and cousins when we were growing up.;1;3;3;1;3;2;2;2;3;1;1;3;3;1;4;1;3;3;2;1;3;1;1;1;1;1;2;4;3;3;1;1;2;3;1;3;3;3;1;1;3;2;3;1;1;1;1
3300;Fanta;230;I picked images that evoked a sense of fun.;3;5;3;3;5;1;5;5;5;3;5;5;5;3;5;2;3;4;3;3;3;3;3;3;3;3;5;3;5;3;3;3;5;3;3;3;5;3;3;3;4;5;3;1;3;3;5
3306;Fanta;230;Life with Fanta is a life full of good times with friends, and a bright outlook. It's about being active and full of energy.;3;4;4;1;3;2;4;5;5;2;4;5;2;3;5;3;3;2;4;4;4;4;5;3;2;1;5;1;3;3;2;4;1;4;1;1;4;4;1;4;3;5;2;2;1;1;2
3309;Fanta;230;Fanta is bright, flavorful, colorful.  It reminds me of birthday parties as a kid, riding bikes with friends and going to the carnival.  It makes me think of Summer days in the sun.;4;4;3;3;4;1;3;4;3;4;3;3;5;4;4;2;4;4;3;4;4;2;3;3;2;3;4;4;4;4;3;3;5;4;4;3;4;3;2;2;3;3;3;3;1;5;4
3310;Fanta;230;It is fresh,fun, and colorful.;4;5;4;3;5;1;2;4;4;5;4;3;4;2;5;3;4;4;5;4;4;4;3;4;3;2;4;2;5;5;2;3;3;4;3;5;4;5;1;1;4;3;3;3;3;3;2
3312;Fanta;230;It makes me feel like the sun is energizing the flavor underwater and creating the beverage which I can then dive into and it hydrates and energizes me in the beverage circle of life.;5;5;5;4;5;1;5;4;5;5;4;5;5;1;5;2;5;4;4;5;4;5;4;5;5;3;4;5;5;5;4;5;3;5;1;3;5;4;1;5;5;4;5;2;1;4;5
3585;Fanta;230;Fanta is refreshing and the images I chose are refreshing images that are pleasing.;3;4;4;4;4;3;4;3;3;4;4;4;3;3;4;4;4;4;3;4;4;4;3;3;2;1;3;2;4;4;1;3;4;4;2;4;4;4;1;1;4;4;3;2;4;3;5
3684;Fanta;230;"I think Fanta is ""fun"" and whimsical. It is care free and symbolizes having a good time!";3;4;5;3;4;1;4;4;4;4;4;5;3;3;3;2;1;2;2;3;4;5;3;3;2;3;3;2;2;2;2;3;2;2;1;2;5;3;1;1;5;4;4;2;4;4;5
3700;Fanta;230;I found fun summer related images - blowing bubbles, sitting in a hammock, riding a roller coaster and hanging out at the beach with friends and those images remind me of drinking a Fanta on a hot summer day. ;1;4;2;2;1;5;1;1;1;3;1;1;2;3;3;1;1;2;1;2;1;1;1;1;1;1;1;3;3;3;1;2;2;2;1;3;1;2;1;1;1;1;1;1;1;1;5
4644;Fanta;230;I think of latin america. Soccoer as well. ;3;3;2;3;3;3;2;3;3;3;3;3;3;3;2;4;4;3;2;3;3;3;3;3;4;4;3;3;3;3;3;3;2;4;2;3;3;4;3;3;2;3;3;3;2;4;3
4674;Fanta;230;sweet, fun;4;5;4;3;2;4;3;2;2;4;4;4;5;3;5;2;4;4;4;4;4;4;3;4;2;2;2;1;3;4;2;4;3;3;2;4;3;4;2;2;2;4;2;2;1;3;4
4707;Fanta;230;Fanta reminds me of running water specifically waterfalls and rivers it's so busy but yet so peaceful.;4;3;4;3;5;2;3;3;4;4;2;5;3;2;4;1;4;5;4;5;2;4;1;4;4;4;3;5;5;5;2;3;5;5;4;3;4;4;3;4;4;3;4;1;4;4;5
3908;Febreze;231;natural fragrance;4;3;4;3;4;4;3;4;3;4;4;3;5;3;4;4;2;4;4;3;4;3;4;4;3;3;3;4;3;4;2;4;3;3;3;2;2;3;4;4;3;3;3;3;4;4;4
4002;Febreze;231;Febreeze is clean, and sleek. It reminds me of nature and the fresh outdoors. It restores things to their natural beauty. ;4;4;3;3;3;2;3;2;3;4;2;2;4;2;4;4;3;3;2;4;3;2;2;2;2;2;3;5;3;2;3;3;4;2;3;4;4;3;1;2;2;2;2;2;3;5;2
4008;Febreze;231;Febreze makes me think of beauty, cleanliness and fresh flowers.;5;5;4;4;5;1;3;2;4;4;3;4;4;4;5;5;4;1;5;4;4;3;3;3;2;1;5;4;4;2;3;3;2;4;2;4;5;4;2;2;3;4;4;2;1;2;2
4016;Febreze;231;Makes me think pure and natural like babies and clouds.;4;4;5;5;4;2;4;4;4;4;4;4;5;1;5;3;4;5;5;4;4;5;4;5;5;1;5;3;4;5;4;4;4;4;1;4;4;5;2;3;4;4;5;3;1;5;5
4229;Febreze;231;family, making smelly things smell better, inviting atmosphere;3;4;4;3;3;3;2;2;3;4;3;3;5;4;4;2;3;5;4;3;2;4;4;3;4;2;4;5;4;5;4;4;2;4;4;3;4;4;5;4;3;3;3;2;1;3;2
4239;Febreze;231;A balance, especially like in nature, with all the elements, plants, and animal life in harmony.;4;4;3;5;3;1;2;4;4;5;3;2;5;3;5;2;4;3;3;5;3;4;4;4;4;2;4;3;3;4;1;3;4;5;2;3;5;4;2;1;4;3;4;3;2;4;4
4242;Febreze;231;"there are things we WANT in life, and then again there are things we are ENTITLED to have.  one of those things is a house with a pleasant smell, and that's where Febreze comes in.  This is not a complicated product to write about, because it's purpose is well known, and it really couldn't be easier to use.  a bad smelling house is one way to put a family in a bad mood.  Febreze, on the other hand, ensures that won't be a problem.  and it shouldn't be a problem; we all have enough things to worr";3;5;5;3;4;1;2;3;3;5;2;2;5;3;5;2;5;4;5;4;3;5;4;5;4;1;3;1;5;5;1;5;2;5;2;5;4;5;1;2;3;3;4;2;1;3;1
4362;Febreze;231;It is fresh, home and family oriented.;2;2;2;3;1;1;1;3;3;3;1;1;5;1;3;1;1;3;2;3;1;2;1;2;3;1;3;1;3;4;1;3;1;2;1;1;1;3;1;1;1;3;2;1;1;3;1
4369;Febreze;231;"When I think of Febreze, I think of light, airy, nature, clean and relaxing.
";4;5;4;5;4;1;1;2;4;5;4;4;5;3;5;1;4;3;3;4;4;3;3;4;3;1;2;5;4;5;1;3;4;4;2;3;5;5;1;3;1;2;2;2;1;5;2
4444;Febreze;231;To me Febreeze is hard working and simple. It's colorful with lots of different styles but gives people a good feeling of cleanliness. ;2;4;4;3;3;3;2;2;3;3;2;2;4;4;4;3;4;4;3;4;4;3;2;3;3;2;3;3;3;4;2;4;3;3;4;4;4;5;2;4;2;3;3;2;3;3;2
4448;Febreze;231;I associate Febreze with various scents, with nature, with freshness, and with family.;3;4;4;4;2;2;2;3;3;5;2;2;5;2;5;2;3;4;4;4;4;4;2;3;4;2;3;5;4;4;4;4;3;4;3;4;3;4;2;3;2;4;4;2;1;5;4
4612;Febreze;231;fresh, breezy, clean;2;4;2;2;3;2;2;2;2;4;2;2;2;4;2;2;2;3;2;4;4;2;2;2;2;2;2;4;2;2;2;4;4;2;3;2;4;2;2;2;2;2;2;2;2;4;3
4623;Febreze;231;I tried to portray mountains, rivers and flowers because those are the kind of smells I think of. Then I tried showing happy families, and pets, because Febreze gets rid of pet odors, etc.;3;4;5;4;4;4;3;1;3;5;3;2;5;4;3;2;4;5;5;5;3;4;3;4;5;2;2;5;4;5;1;3;5;5;4;4;5;5;2;3;4;3;3;3;2;3;4
75;Ferrari;232;Ferrari is aggressive and precise, so I wanted those kinds of things. It's also wealthy and beautiful, so things that denote wealth and beauty are in there.;4;3;5;5;5;4;5;5;5;1;5;5;1;3;2;5;5;4;5;4;5;5;5;4;5;4;5;1;5;2;1;5;3;5;1;5;5;5;5;3;5;5;5;5;3;1;5
166;Ferrari;232;I feel as if the iconic color for Ferrari, the Italian car manufacturer, is red. Along with the color, the feeling that one gets in a Ferrari is that of flying fast. A Ferrari comes with a cost however and I feel as if it is a sexy brand.;5;4;5;4;5;4;5;5;5;2;5;5;2;2;3;5;5;5;5;3;5;5;5;5;5;5;5;2;5;3;1;5;4;2;3;5;5;5;5;3;1;5;5;5;1;2;2
167;Ferrari;232;I feel happy and free about ferrari.;4;4;3;3;4;4;3;4;3;4;3;4;4;2;4;4;4;3;3;4;3;4;4;5;4;4;4;3;3;4;2;3;4;3;2;3;4;4;3;4;3;2;5;4;2;3;4
178;Ferrari;232;luxury life choose ferrari;3;2;2;2;3;3;3;3;4;2;3;3;2;2;2;3;3;3;3;3;3;3;2;2;3;2;3;3;3;2;3;3;3;3;3;3;4;3;2;3;3;2;3;3;2;2;3
280;Ferrari;232;It moves at blinding speed that turns reality into a blur.;5;5;5;1;5;5;5;5;5;1;5;5;1;1;4;5;5;5;5;5;5;5;5;4;5;5;5;3;5;4;3;4;2;5;1;5;5;5;5;5;1;5;5;5;1;5;5
334;Ferrari;232;It is associate with the color red. It has distinguished  lines and designs. ;2;2;5;4;5;1;5;5;5;1;5;4;1;3;1;5;5;3;5;3;5;5;3;4;5;5;5;1;3;4;1;3;1;3;1;4;3;5;5;2;4;5;5;5;4;2;5
399;Ferrari;232;Ferrari reminds me of opulence and the exotic things in life.;2;3;5;5;5;5;5;5;5;1;5;5;1;2;2;5;5;4;5;2;4;5;5;4;5;5;5;1;1;3;1;3;1;1;1;5;5;5;5;4;5;5;5;5;1;1;3
425;Ferrari;232;well known to all for its loyalty brand recognisation;2;3;2;1;2;2;2;3;3;2;3;3;3;2;2;3;2;2;2;2;3;2;2;3;2;1;2;3;2;3;2;3;3;3;3;2;2;2;3;1;3;3;1;3;3;4;1
480;Ferrari;232;I drew many attentions to being rich and having lots of expendable income, as well as a fast paced and in charge life style. I also included a picture of a well endowed woman, because most people who drive expensive cars do so as a statement, including picking up women. Travel was another focus point, as you always see rich travelers in movies renting expensive cars such as a ferrari.;4;3;3;4;4;2;4;3;4;1;3;4;1;2;2;4;4;2;5;3;3;3;3;2;2;1;3;1;3;3;1;3;1;2;1;4;2;4;4;1;4;3;4;5;1;2;4
545;Ferrari;232;I was looking for pictures that could represent speed, smoothness, movement, richness, and perhaps travel.;3;3;5;5;4;5;4;5;5;2;5;5;1;1;3;5;4;4;5;3;4;5;4;3;3;3;4;1;4;4;1;4;3;3;1;5;5;5;5;2;5;4;5;5;1;3;3
602;Ferrari;232;Speed for those with a need.;4;3;5;4;5;5;4;5;5;1;5;5;1;3;4;5;5;5;5;5;4;5;5;5;5;4;5;2;3;4;4;5;5;4;1;5;5;5;5;4;2;5;5;5;1;1;3
687;Ferrari;232;I wanted to show that Ferrari is Italian, fast, and luxurious.;5;4;5;3;5;4;5;5;5;1;5;5;1;1;2;5;5;4;5;5;5;5;5;5;5;5;5;1;5;5;2;5;1;5;1;5;5;5;5;5;5;5;5;5;1;1;5
740;Ferrari;232;"I relate Ferrari to Italy, of course and I believe that they are hot like fire; their famous color is Ferrari red. They are also fast like a jet and are typically driven in isolated areas. ";5;4;5;5;5;2;5;5;5;2;5;5;1;1;4;5;5;5;5;3;4;5;4;4;5;4;5;2;5;3;1;5;5;3;2;5;5;5;4;3;1;5;5;5;1;3;2
842;Folgers Coffee;237;I relate it to energy, mornings, happiness, etc.;5;5;5;3;5;2;3;1;5;5;4;5;3;3;5;4;5;4;5;4;5;5;4;4;4;3;2;3;5;5;2;4;4;5;5;5;5;4;1;3;3;3;4;3;1;4;3
844;Folgers Coffee;237;Fits my feeling and experiences with it.;1;3;1;1;1;4;1;1;1;3;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;3
847;Folgers Coffee;237;I chose relaxing morning settings that are comforting, just the way I am when I drink coffee.;4;4;5;3;4;4;4;2;4;5;3;4;1;3;4;4;4;4;4;4;3;5;3;4;4;4;4;5;4;4;4;3;3;3;4;3;3;4;4;3;1;1;3;1;5;4;4
940;Folgers Coffee;237;morning and family;2;4;4;3;4;2;4;2;4;5;5;5;4;2;4;4;4;4;4;4;4;4;5;4;4;3;4;2;4;4;3;4;4;4;3;4;5;4;5;4;4;5;5;3;4;4;3
1038;Folgers Coffee;237;The products are very much different and unique with the brand.;3;4;4;4;5;5;3;3;5;3;3;5;3;5;4;5;4;4;4;4;4;4;4;4;3;3;3;5;5;3;4;4;5;3;4;3;4;3;4;4;3;5;3;4;3;4;4
1042;Folgers Coffee;237;its sporty, wakes me up, feels good to drink, makes me relaxed. many of the pictures are just that also. relaxing, sports and fast and attractive;1;3;3;1;3;1;1;3;1;3;1;1;2;1;3;1;1;3;3;3;1;1;1;3;1;1;2;1;3;3;1;3;3;3;3;3;1;3;1;1;1;1;1;1;1;4;1
1108;Folgers Coffee;237;Folgers represents good wholesome American values. It is what starts Americas day and keeps it going.  Its an active brand to help you make it through your day.;4;4;4;1;1;1;1;1;4;5;2;3;5;1;5;1;3;5;4;4;1;4;2;2;4;3;5;4;5;5;4;5;4;5;5;2;4;5;1;4;2;2;4;3;3;5;1
1146;Folgers Coffee;237;I chose the energy one because coffee energizes you. the red thing because of the packaging, the flower because coffee smells good, the old man because old people love coffee, the singer because of the jingle on the commercials, the kitchen and breakfast because that is where and when its often consumed, and the paperwork ebcause office workers drink coffee a lot;3;2;3;3;3;3;2;3;2;3;3;3;3;1;3;1;3;3;3;3;1;2;3;3;3;3;1;2;2;3;2;2;3;3;2;2;3;3;3;2;3;2;3;3;3;3;1
1224;Folgers Coffee;237;Enjoying the outdoors and family at home.;3;3;4;4;3;2;3;3;5;5;3;3;4;3;4;3;3;4;5;4;3;3;2;3;4;3;5;4;4;4;4;3;4;4;4;4;3;4;2;3;3;3;3;3;3;4;3
1236;Folgers Coffee;237;Morning breakfast;4;5;5;4;4;2;3;5;5;4;3;5;4;3;5;5;5;4;4;5;4;4;4;4;5;4;5;4;5;5;1;4;5;4;4;5;4;4;2;4;2;4;5;2;3;4;3
1314;Folgers Coffee;237;"
Folgers is dark, square, sturdy, strong
";1;1;4;1;1;1;3;2;1;4;2;2;1;1;1;1;1;5;3;3;3;3;2;3;3;5;2;5;4;4;5;5;3;3;1;4;5;4;5;5;1;1;2;1;4;4;1
1414;Folgers Coffee;237;Diner Grounds and tradtional food. ;3;3;4;4;3;3;2;2;3;3;3;4;4;3;3;2;3;2;3;3;3;4;3;2;3;3;4;2;3;3;3;3;2;2;3;3;3;2;3;3;3;4;4;3;3;2;4
1417;Folgers Coffee;237;RElaxing  and happiness;2;2;2;2;2;4;2;2;3;3;2;1;3;2;3;2;1;4;1;3;2;2;2;2;1;2;2;2;3;4;2;3;2;2;2;2;2;4;1;2;2;2;1;2;3;3;1
1420;Folgers Coffee;237;reminds me of tradition and waking up for work;4;2;3;3;2;5;4;1;4;3;4;4;4;2;4;2;3;5;3;2;4;2;2;2;2;4;2;3;3;2;3;2;4;2;4;2;2;2;2;2;2;2;3;3;4;2;3
1424;Folgers Coffee;237;Pure, lovely and fresh;5;5;4;5;5;1;3;1;3;5;5;5;5;5;4;5;4;5;5;5;5;5;4;5;5;1;5;1;5;5;1;5;5;5;2;5;5;5;2;1;5;5;4;4;5;4;5
1425;Folgers Coffee;237;morning breakfast;5;4;4;4;5;1;4;3;5;4;3;5;5;3;4;2;5;4;5;4;4;4;4;5;4;4;5;3;4;4;4;4;5;5;5;3;4;5;2;5;2;5;5;5;4;5;2
1431;Folgers Coffee;237;dising in whater folgers coffee in good dising in whater in bakrond picher what us whalld ;2;3;2;4;5;5;3;3;4;4;3;4;5;3;3;3;2;4;5;4;5;4;4;2;2;3;2;4;3;4;3;4;3;4;2;3;4;3;4;3;3;4;3;4;3;4;3
1434;Folgers Coffee;237;This relates since starting a morning off right with coffee will make a person enjoy the rest of the day. Also Coffee is more related to the morning in my view so the picture show what a good morning looks like.;3;5;3;3;3;4;2;3;3;5;3;4;4;3;4;2;2;5;3;4;3;2;3;4;2;5;3;5;5;3;4;4;4;4;5;3;2;2;3;3;2;4;4;2;5;4;2
1436;Folgers Coffee;237;Folgers coffee always reminds me of my family and mornings. It is nostalgic because the best times making coffee with my family were spending time together in nature. I also like the quiet and reflective time, being with one or a few close people and drinking coffee together. It's a really nice start to the day. It also reminds me of fun times travelling and relaxing.;3;4;4;2;3;2;2;4;3;4;2;3;4;3;4;2;2;4;5;4;3;3;3;3;1;3;3;4;4;3;2;3;4;4;4;4;4;2;2;2;1;3;2;1;2;4;3
1631;Foot Locker;239;Foot Locker is all about the outdoors, about exercise and feeling young. I found images that reflect that, with youthful people doing physical things outdoors. ;4;3;5;4;4;5;3;2;3;2;4;3;2;2;3;2;4;3;4;4;3;1;3;2;4;4;4;5;3;4;2;3;1;3;2;4;3;4;4;3;4;2;4;4;2;3;4
1636;Foot Locker;239;Foot locker is strength peace strength. knowing that you are a leader a leader of the pack. tranquility in balance.;4;4;5;3;5;4;4;4;4;5;3;4;4;4;4;2;5;5;5;5;4;5;3;5;5;4;5;4;4;5;4;5;4;4;5;5;5;5;3;5;5;3;5;5;2;4;4
1727;Foot Locker;239;"there are many places a person can shop for products related to feet; but I consider Foot Locker a ""specialization"" type of store.  A person who shops there has made a statement; that he/she is interested in making sure he gets exactly what he's looking for in terms of footwear.  This person tries never to settle for second best.  He is interested in eating right, as seen in the food items in the collage.  Rather than sitting at home and watching sports, she's often seen outside enjoying nature,";1;3;5;5;5;2;5;4;5;5;5;5;3;2;3;1;5;5;5;5;4;5;4;5;5;2;4;5;5;5;5;5;1;5;2;5;5;5;3;4;4;4;5;2;2;4;4
